Character,delete_fail,delete_rate,replace_fail,replace_rate,insert_fail,insert_rate,total_without_replaced_by_fail,total_rate,replaced_by_fail,replaced_by_fail_rate,total_count
n,0,100.0,1,99.33333333333333,0,100.0,1,99.33333333333333,0,100.0,150
p,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,132
Q,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,129
7,0,100.0,0,100.0,0,100.0,0,100.0,1,99.18032786885246,122
G,0,100.0,0,100.0,0,100.0,0,100.0,1,99.12280701754386,114
;,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,131
",",0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,130
!,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,135
m,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,161
E,0,100.0,0,100.0,0,100.0,0,100.0,1,99.20634920634922,126
?,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,152
<,0,100.0,0,100.0,0,100.0,0,100.0,1,99.30555555555556,144
>,0,100.0,0,100.0,0,100.0,0,100.0,1,99.34640522875817,153
Y,0,100.0,0,100.0,0,100.0,0,100.0,1,99.28057553956835,139
a,0,100.0,0,100.0,0,100.0,0,100.0,1,99.29577464788733,142
"""",0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,126
$,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,144
j,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,130
&,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,156
M,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,136
b,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,140
q,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,133
R,0,100.0,0,100.0,0,100.0,0,100.0,1,99.28571428571429,140
